,Title,User Rating,Metacritic,Number of Votes,Running Time,Release Date,Director
166,Crip Camp,7.8,86,"1,911",1h 46min,25 March 2020 (USA),James Lebrecht
167,Ottolenghi and the Cakes of Versailles,6.8,N/A,26,1h 15min,25 September 2020 (USA),Laura Gabbert
168,American Playboy: The Hugh Hefner Story,7.5,N/A,"1,572",42min,TV Series (2017),Matt Whelan
169,Homicide Hunter: Lt. Joe Kenda,8.8,N/A,"2,562",43min,TV Series (2011– ),Josh Casaubon
170,Bowling for Columbine,7.9,72,"138,829",2h,15 November 2002 (USA),Michael Moore
171,Showbiz Kids,7.0,N/A,949,1h 35min,15 July 2020 (Spain),Alex Winter
172,Leaving Neverland,7.0,N/A,"25,435",4h,8 March 2019 (Bulgaria),Dan Reed
173,The Beatles: Get Back,N/A,N/A,N/A,N/A,27 August 2021 (USA),Peter Jackson
174,No Safe Spaces,7.7,N/A,"1,159",1h 40min,25 October 2019 (USA),Justin Folk
175,Blackfish,8.1,83,"60,895",1h 23min,26 July 2013 (Ireland),Gabriela Cowperthwaite
176,The Imposter,7.5,77,"44,625",1h 39min,24 August 2012 (UK),Bart Layton
177,A Secret Love,7.9,77,"2,877",1h 21min,29 April 2020 (USA),Chris Bolan
178,Miss Americana,7.4,65,"14,254",1h 25min,31 January 2020 (USA),Lana Wilson
179,Fahrenheit 9/11,7.5,67,"125,624",2h 2min,25 June 2004 (USA),Michael Moore
180,Console Wars,N/A,N/A,N/A,N/A,TV Series,N/A
181,Beastie Boys Story,7.8,74,"3,716",1h 59min,24 April 2020 (USA),Spike Jonze
182,Sex Next Door,5.3,N/A,24,N/A,TV Series (2020– ),N/A
183,Bob Lazar: Area 51 & Flying Saucers,5.6,N/A,"4,474",1h 37min,4 December 2018 (USA),Jeremy Kenyon Lockyer Corbell
184,What the Health,7.4,N/A,"26,413",1h 37min,2018 (Norway),Kip Andersen
185,60 Minutes,7.4,N/A,"3,015",1h,TV Series (1968– ),Don Hewitt
186,Hard Knocks,8.5,N/A,"1,696",55min,TV Series (2001– ),Marty Callner
187,Thinking XXX,6.0,N/A,906,59min,TV Movie 28 October 2004,Timothy Greenfield-Sanders
188,Out of Shadows,7.2,N/A,"1,143",1h 18min,11 April 2020 (USA),Mike Smith
189,The Circus: Inside the Greatest Political Show on Earth,7.0,N/A,763,30min,TV Series (2016– ),John Heilemann
190,Dark Side of the Ring,8.7,N/A,"1,329",1h,TV Series (2019– ),Chris Jericho
191,The Thin Blue Line,8.0,79,"21,247",1h 41min,25 August 1988 (USA),Errol Morris
192,The Pharmacist,7.7,N/A,"4,738",3h 35min,TV Mini-Series (2020),N/A
193,Pumping Iron,7.4,72,"21,023",1h 26min,23 June 1977 (France),George Butler
194,Playboy: Voluptuous Vixens II,6.7,N/A,214,56min,Video 21 July 1998,Scott Allen
195,American Horror Story FreakShow: Extra-Ordinary-Artists,8.0,N/A,290,4min,TV Series (2014– ),Jyoti Amge
196,Paradise Lost: The Child Murders at Robin Hood Hills,8.3,N/A,"14,988",2h 30min,10 June 1996 (USA),Joe Berlinger
197,The Silence of Others,8.0,73,"1,424",1h 36min,8 May 2019 (USA),Robert Bahar
198,The Last Stop,8.6,N/A,76,1h 50min,29 April 2017 (USA),Todd Nilssen
199,Fantastic Fungi,7.7,70,"1,339",1h 21min,11 October 2019 (USA),Louie Schwartzberg
200,Demon House,5.2,N/A,"5,376",1h 35min,16 December 2019 (USA),Zak Bagans
201,The Last Waltz,8.2,88,"15,913",1h 57min,26 April 1978 (USA),Martin Scorsese
202,Paris Is Burning,8.2,82,"12,202",1h 11min,August 1991 (USA),Jennie Livingston
203,Casting Calls,7.0,N/A,341,3min,TV Series (2018– ),N/A
204,The Swamp,6.4,N/A,341,1h 54min,29 August 2020 (UK),Daniel DiMauro
205,Seven Worlds One Planet,9.4,N/A,"3,598",6h 47min,TV Mini-Series (2019),David Attenborough
206,Planet of the Humans,6.9,N/A,"2,322",1h 40min,31 July 2019 (USA),Jeff Gibbs
207,The Trials of Gabriel Fernandez,8.2,N/A,"6,555",5h 31min,TV Mini-Series (2020),William Guirola
208,A Love Song for Latasha,6.1,N/A,79,19min,21 September 2020 (USA),Sophia Nahli Allison
209,Inception: Jump Right Into the Action,8.7,N/A,459,44min,Video 7 December 2010,Leonardo DiCaprio
210,Circus of Books,7.0,74,"3,172",1h 32min,22 April 2020 (USA),Rachel Mason
