,Rank_MOJO_by_Box_office,Title,Lifetime_Gross_MOJO,Max_Theaters,Opening_Box,Opening_Th,Distributor,User_Rating_IMDB,Metacritic,Number_of_votes_IMDB,Running_Time,Director,Release_Difference
404,668,Eating Animals,149614,25.0,34524.0,2.0,IFC Films,7.3,69.0,919,1h 34min,Christopher Dillon Quinn,13580.0
405,669,Michael Moore in TrumpLand,149090,51.0,50200.0,2.0,-,5.6,,3719,1h 13min,Michael Moore,12976.0
406,672,Jonestown: The Life and Death of Peoples Temple,148292,5.0,7482.0,1.0,Seventh Art Releasing,7.8,79.0,4951,1h 26min,Stanley Nelson,9324.0
407,676,Framing John DeLorean,145625,28.0,6991.0,1.0,IFC Films,6.5,67.0,1262,1h 49min,Don Argott,13937.0
408,678,Narco Cultura,145088,46.0,6093.0,1.0,Cinedigm Entertainment Group,7.2,74.0,2366,1h 43min,Shaul Schwarz,11914.0
409,679,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,144601,12.0,9805.0,1.0,Miramax,7.2,67.0,1426,1h 37min,Paul Crowder,9219.0
410,681,Kids for Cash,143178,12.0,36639.0,4.0,Paladin,7.1,75.0,1869,1h 42min,Robert May,11991.0
411,682,Flow: For Love of Water,142569,11.0,3644.0,1.0,Oscilloscope,7.6,67.0,1110,1h 24min,Irena Salina,9842.0
412,683,Waco: The Rules of Engagement,142193,5.0,,,-,7.9,,3223,2h 45min,William Gazecki,5803.0
413,685,Gore Vidal: The United States of Amnesia,140164,11.0,13744.0,2.0,IFC Films,7.7,72.0,1204,1h 23min,Nicholas D. Wrathall,12096.0
414,687,Mistaken for Strangers,138991,9.0,87743.0,9.0,Abramorama,7.3,72.0,4282,1h 15min,Tom Berninger,12040.0
415,688,Good Ol' Freda,138811,17.0,6798.0,1.0,Magnolia Pictures,7.3,,1849,1h 26min,Ryan White,11837.0
416,689,Ingrid Bergman: In Her Own Words,138148,13.0,8355.0,1.0,Rialto Pictures,7.4,75.0,1948,1h 54min,Stig Björkman,12635.0
417,691,Is the Man Who Is Tall Happy?,137042,15.0,31800.0,3.0,IFC Films,7.1,76.0,3360,1h 28min,Michel Gondry,11914.0
418,692,The Other Dream Team,135228,14.0,19821.0,2.0,The Film Arcade,8.4,69.0,3429,1h 29min,Marius A. Markevicius,11494.0
419,693,Concert for George,134600,105.0,67711.0,105.0,-,8.6,82.0,1834,2h 26min,David Leland,8211.0
420,697,Naqoyqatsi,133058,9.0,17154.0,2.0,Miramax,6.6,,5369,1h 29min,Godfrey Reggio,7861.0
421,698,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It",133006,54.0,22310.0,1.0,Abramorama,9.4,,1294,1h 30min,John Griesser,13216.0
422,699,The Devil Came on Horseback,132782,7.0,11143.0,1.0,International Film Circuit,7.7,78.0,1541,1h 25min,Ricki Stern,9602.0
423,701,Dawson City: Frozen Time,132369,8.0,,,Kino Lorber,7.5,86.0,1523,2h,Bill Morrison,12959.0
424,702,Deep Blue,132261,5.0,8373.0,2.0,Miramax,7.4,71.0,2826,1h 23min,Andy Byatt,8820.0
425,703,Kumaré,132160,9.0,9601.0,1.0,Kino Lorber,7.5,,4705,1h 24min,Vikram Gandhi,11394.0
426,704,How to Survive a Plague,132055,15.0,28250.0,4.0,IFC Films,7.6,86.0,3738,1h 50min,David France,11487.0
427,706,Until the Light Takes Us,130441,3.0,7246.0,1.0,Variance Films,7.1,,5545,1h 33min,Aaron Aites,10465.0
428,707,Requiem for the American Dream,130152,14.0,,,The Film Collaborative,8.1,,8475,1h 13min,Peter D. Hutchison,12712.0
429,708,4 Little Girls,130146,4.0,13528.0,1.0,-,7.8,88.0,2798,1h 42min,Spike Lee,5934.0
430,709,Be Here to Love Me: A Film About Townes Van Zandt,129988,5.0,9098.0,1.0,Palm Pictures,7.8,69.0,1208,1h 39min,Margaret Brown,9002.0
431,710,I Called Him Morgan,128986,11.0,12902.0,1.0,Submarine Deluxe,7.3,90.0,1444,1h 32min,Kasper Collin,13132.0
432,712,City of Ghosts,128015,18.0,13601.0,2.0,IFC Films,7.4,86.0,3422,1h 32min,Matthew Heineman,13237.0
433,715,A Band Called Death,127257,16.0,34839.0,15.0,Drafthouse Films,7.5,77.0,3498,1h 36min,Mark Christopher Covino,11767.0
434,716,Dig!,127067,10.0,20437.0,2.0,Palm Pictures,7.8,76.0,5949,1h 47min,Ondi Timoner,8575.0
435,717,Unknown White Male,126836,11.0,24591.0,4.0,Wellspring Media,6.6,65.0,1011,1h 28min,Rupert Murray,9086.0
436,718,Woodstock,126562,781.0,,,Fathom Events,8.2,95.0,15763,3h 4min,Michael Wadleigh,14006.0
437,718,Woodstock,126562,781.0,,,Fathom Events,7.6,67.0,1304,1h 46min,Barak Goodman,14006.0
438,867,Woodstock,84440,11.0,8150.0,2.0,PBS Distribution,8.2,95.0,15763,3h 4min,Michael Wadleigh,13923.0
439,867,Woodstock,84440,11.0,8150.0,2.0,PBS Distribution,7.6,67.0,1304,1h 46min,Barak Goodman,13923.0
440,723,The Square,124244,9.0,16359.0,1.0,Noujaim Films,8.1,84.0,8508,1h 35min,Jehane Noujaim,11886.0
441,727,Manda Bala (Send a Bullet),122905,9.0,14030.0,1.0,City Lights Pictures,7.2,71.0,1118,1h 25min,Jason Kohn,9625.0
442,728,The Punk Singer,122742,24.0,24729.0,3.0,IFC Films,7.4,75.0,2694,1h 21min,Sini Anderson,11921.0
443,729,The Kingmaker,122587,18.0,19523.0,2.0,Greenwich Entertainment,7.6,76.0,1284,1h 41min,Lauren Greenfield,14091.0
444,735,Fire at Sea,120933,7.0,,,Kino Lorber,6.7,87.0,5333,1h 54min,Gianfranco Rosi,12945.0
445,738,Examined Life,120712,6.0,12085.0,1.0,Zeitgeist Films,7.1,64.0,1630,1h 27min,Astra Taylor,10183.0
446,741,Do I Sound Gay?,119388,18.0,10461.0,1.0,IFC Films,5.7,65.0,1802,1h 17min,David Thorpe,12509.0
447,743,The Great Buster,118344,14.0,7107.0,2.0,Cohen Media Group,7.5,71.0,1026,1h 42min,Peter Bogdanovich,13692.0
448,746,Ryuichi Sakamoto: Coda,117460,9.0,12827.0,1.0,MUBI,7.7,78.0,1077,1h 40min,Stephen Nomura Schible,13601.0
449,749,Beware of Mr. Baker,116476,15.0,12195.0,1.0,-,7.6,78.0,3210,1h 40min,Jay Bulger,11555.0
450,750,The Undefeated,116381,14.0,65132.0,10.0,Arc Entertainment,2.0,,1887,1h 58min,Steve Bannon,11053.0
451,753,War Dance,115210,10.0,15471.0,3.0,THINKFilm,7.8,68.0,1113,1h 45min,Sean Fine,9709.0
452,755,Sound and Fury,114882,6.0,7104.0,2.0,Artistic License,7.9,85.0,943,1h 20min,Josh Aronson,7138.0
453,760,Abacus: Small Enough to Jail,113278,8.0,12528.0,1.0,PBS Distribution,7.2,73.0,2615,1h 28min,Steve James,13188.0
454,763,Spinning Plates,112449,6.0,20717.0,3.0,The Film Arcade,7.1,65.0,915,1h 33min,Joseph Levy,11886.0
455,765,"Hale County This Morning, This Evening",112282,8.0,8640.0,2.0,The Cinema Guild,6.3,85.0,1754,1h 16min,RaMell Ross,13671.0
456,767,Marwencol,112036,6.0,3276.0,1.0,The Cinema Guild,7.6,82.0,3380,1h 23min,Jeff Malmberg,10773.0
457,768,Rich Hill,111376,28.0,9635.0,1.0,The Orchard,7.2,75.0,2177,1h 31min,Andrew Droz Palermo,12166.0
458,770,The Overnighters,110763,23.0,4324.0,1.0,Drafthouse Films,7.4,89.0,2323,1h 42min,Jesse Moss,12236.0
459,772,Word Wars,110617,5.0,7559.0,1.0,Seventh Art Releasing,6.9,61.0,1643,1h 20min,Eric Chaikin,8449.0
460,774,5 Broken Cameras,109983,9.0,6674.0,1.0,Kino Lorber,7.9,78.0,5701,1h 34min,Emad Burnat,11373.0
461,775,Best Worst Movie,109895,2.0,5503.0,1.0,Abramorama,7.3,61.0,7643,1h 33min,Michael Paul Stephenson,10605.0
462,776,Zero Days,109649,20.0,49110.0,18.0,Magnolia Pictures,7.8,77.0,8679,1h 56min,Alex Gibney,12873.0
463,779,The Look of Silence,109089,14.0,6616.0,1.0,Drafthouse Films,8.3,92.0,11533,1h 43min,Joshua Oppenheimer,12516.0
464,780,Trumbo,109057,6.0,28125.0,3.0,The Samuel Goldwyn Company,7.4,71.0,1000,1h 36min,Peter Askin,9940.0
465,782,Bettie Page Reveals All,108118,21.0,4846.0,1.0,Music Box Films,7.1,64.0,1348,1h 41min,Mark Mori,11914.0
466,785,Ivory Tower,106771,12.0,17857.0,2.0,The Samuel Goldwyn Company,7.0,65.0,1271,1h 30min,Andrew Rossi,12117.0
467,790,Big Star: Nothing Can Hurt Me,105998,9.0,15096.0,2.0,Magnolia Pictures,7.1,69.0,1221,1h 53min,Drew DeNicola,11772.0
468,791,Steve Jobs: The Lost Interview,105710,13.0,,,Magnolia Pictures,8.0,,1749,1h 10min,Paul Sen,11177.0
469,793,King Corn,105422,8.0,6753.0,1.0,Balcony Releasing,7.0,70.0,1933,1h 28min,Aaron Woolf,9681.0
470,796,Cold Case Hammarskjöld,104965,15.0,18285.0,10.0,Magnolia Pictures,7.5,76.0,1844,2h 8min,Mads Brügger,14007.0
471,797,Anthropocene: The Human Epoch,104806,110.0,16038.0,7.0,Kino Lorber,7.2,77.0,1332,1h 27min,Jennifer Baichwal,14047.0
472,799,Stevie,103401,13.0,9383.0,4.0,Lionsgate,7.8,72.0,2457,2h 20min,Steve James,8022.0
473,802,Filmworker,102609,17.0,7984.0,1.0,Kino Lorber,7.4,73.0,2614,1h 34min,Tony Zierra,13545.0
474,803,Afghan Star,102115,5.0,3671.0,1.0,Zeitgeist Films,7.3,78.0,943,1h 27min,Havana Marking,10304.0
475,804,Cameraperson,102033,7.0,12760.0,1.0,Janus Films,7.4,86.0,2302,1h 42min,Kirsten Johnson,12936.0
476,805,Tower,101987,13.0,,,Kino Lorber,7.9,92.0,7195,1h 22min,Keith Maitland,12955.0
477,806,A Lego Brickumentary,101531,93.0,43285.0,93.0,RADiUS-TWC,6.8,,1856,1h 33min,Kief Davidson,12530.0
478,807,Score,101382,8.0,8088.0,1.0,Gravitas Ventures,7.5,67.0,3819,1h 33min,Matt Schrader,13216.0
479,808,Korengal,101310,11.0,14630.0,1.0,Saboteur Media,6.8,67.0,3646,1h 24min,Sebastian Junger,12103.0
480,809,Freakonomics,101270,20.0,31893.0,20.0,Magnolia Pictures,6.4,,6657,1h 25min,Heidi Ewing,10766.0
481,814,8: The Mormon Proposition,100280,16.0,42566.0,16.0,-,7.0,,1198,1h 20min,Reed Cowan,10661.0
482,817,No Impact Man: The Documentary,100028,8.0,15215.0,2.0,Oscilloscope,6.7,66.0,1492,1h 33min,Laura Gabbert,10381.0
483,820,Under Our Skin,98548,6.0,7043.0,1.0,Shadow Distribution,7.9,63.0,955,1h 44min,Andrew Abrahams,10297.0
484,822,Aileen: Life and Death of a Serial Killer,97362,6.0,16158.0,3.0,Lantern Lane Entertainment,7.1,71.0,6272,1h 33min,Nick Broomfield,8309.0
485,824,Paragraph 175,96630,2.0,25007.0,2.0,New Yorker Films,7.7,85.0,1832,1h 21min,Rob Epstein,7096.0
486,827,Biggie and Tupac,94874,6.0,5728.0,1.0,Roxie Releasing,6.8,63.0,4536,1h 48min,Nick Broomfield,7833.0
487,829,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,93000,116.0,93000.0,116.0,Citizens United,4.3,,1373,1h 12min,Kevin Knoblock,8596.0
488,831,American: The Bill Hicks Story,92234,11.0,5872.0,1.0,Variance Films,7.8,,4740,1h 42min,Matt Harlock,10955.0
489,832,The Brandon Teena Story,92113,2.0,11281.0,1.0,Zeitgeist Films,7.2,,965,1h 29min,Susan Muska,6375.0
490,843,Stranded: I've Come from a Plane That Crashed on the Mountains,89473,7.0,3077.0,1.0,Zeitgeist Films,8.1,82.0,1202,2h 10min,Gonzalo Arijon,10057.0
491,846,Sunshine Superman,88097,21.0,8991.0,3.0,Magnolia Pictures,6.9,70.0,1268,1h 40min,Marah Strauch,12460.0
492,849,Advanced Style,87879,12.0,6500.0,1.0,Bond/360,7.3,66.0,934,1h 12min,Lina Plioplyte,12222.0
493,851,Exporting Raymond,87727,13.0,35292.0,13.0,The Samuel Goldwyn Company,6.9,,1716,1h 26min,Phil Rosenthal,10976.0
494,852,America: Freedom to Fascism,87400,10.0,61200.0,10.0,Cinema Libre Studio,8.0,,2425,1h 35min,Aaron Russo,9240.0
495,855,Kurt Cobain About a Son,87016,6.0,10749.0,2.0,Balcony Releasing,7.4,69.0,3535,1h 36min,AJ Schnack,9672.0
496,856,Marina Abramovic: The Artist Is Present,86637,5.0,11041.0,2.0,Music Box Films,7.9,74.0,5738,1h 46min,Matthew Akers,11387.0
497,859,Author: The JT LeRoy Story,85999,27.0,23413.0,5.0,Magnolia Pictures,7.1,72.0,1056,1h 50min,Jeff Feuerzeig,12936.0
498,861,Tab Hunter Confidential,85812,9.0,9945.0,2.0,The Film Collaborative,7.7,,2925,1h 30min,Jeffrey Schwarz,12607.0
499,865,Visitors,84577,13.0,9094.0,1.0,Cinedigm Entertainment Group,6.1,62.0,988,1h 27min,Godfrey Reggio,11977.0
500,870,12 O'Clock Boys,82614,21.0,44108.0,21.0,Oscilloscope,6.4,68.0,1307,1h 16min,Lotfy Nathan,11984.0
501,875,I Am Divine,81497,10.0,,,The Film Collaborative,7.6,70.0,2374,1h 30min,Jeffrey Schwarz,11872.0
502,877,Earth: One Amazing Day,81345,70.0,45480.0,70.0,BBC Worldwide North America,7.8,,2481,1h 35min,Richard Dale,13328.0
503,878,The Future of Food,81280,5.0,8721.0,2.0,Cinema Libre Studio,7.8,65.0,1378,1h 28min,Deborah Koons,8923.0
504,879,Waking Sleeping Beauty,80741,5.0,33115.0,5.0,Walt Disney Studios Motion Pictures,7.6,70.0,2567,1h 26min,Don Hahn,10577.0
505,881,For the Love of Spock,80141,38.0,,,Gravitas Ventures,7.6,74.0,3742,1h 51min,Adam Nimoy,12936.0
506,882,Searching for the Wrong-Eyed Jesus,79916,6.0,4095.0,1.0,Shadow Distribution,7.7,,1077,1h 22min,Andrew Douglas,8860.0
507,883,More Than Honey,79772,7.0,5225.0,1.0,Kino Lorber,7.6,70.0,3963,1h 35min,Markus Imhoof,11751.0
508,893,The Island President,76398,5.0,13998.0,2.0,The Samuel Goldwyn Company,7.2,72.0,1157,1h 41min,Jon Shenk,11310.0
509,894,Leviathan,76202,5.0,10000.0,1.0,The Cinema Guild,6.6,81.0,3287,1h 27min,Lucien Castaing-Taylor,11648.0
510,898,Whitey: United States of America v. James J. Bulger,75881,9.0,14287.0,3.0,Magnolia Pictures,6.8,71.0,2818,1h 47min,Joe Berlinger,12131.0
511,899,Bill Nye: Science Guy,74909,9.0,7005.0,1.0,PBS Distribution,6.1,73.0,987,1h 41min,David Alvarado,13349.0
512,900,Batkid Begins: The Wish Heard Around the World,74709,14.0,19437.0,4.0,Warner Bros.,6.8,63.0,1561,1h 27min,Dana Nachman,12495.0
513,901,The Nomi Song,74631,3.0,14510.0,2.0,Palm Pictures,7.3,71.0,1016,1h 38min,Andrew Horn,8701.0
514,908,Do Not Resist,72791,8.0,7150.0,1.0,Vanish Films,7.0,69.0,1075,1h 12min,Craig Atkinson,12957.0
515,909,After Tiller,72125,6.0,15500.0,2.0,Oscilloscope,7.4,75.0,1010,1h 25min,Martha Shane,11851.0
516,912,The Invisible War,71968,19.0,16500.0,4.0,Cinedigm Entertainment Group,7.6,75.0,6541,1h 33min,Kirby Dick,11396.0
517,913,Dancer,71917,10.0,7140.0,1.0,IFC Films,7.9,65.0,2596,1h 25min,Steven Cantor,12936.0
518,914,Raiders!: The Story of the Greatest Fan Film Ever Made,71916,27.0,26059.0,24.0,Drafthouse Films,6.9,70.0,2018,1h 46min,Jeremy Coon,12852.0
519,917,Air Guitar Nation,71471,10.0,7035.0,1.0,Shadow Distribution,7.1,72.0,1279,1h 21min,Alexandra Lipsitz,9478.0
520,920,Crossing the Bridge: The Sound of Istanbul,70685,3.0,9161.0,1.0,Strand Releasing,7.9,73.0,6012,1h 30min,Fatih Akin,9191.0
521,921,Crips and Bloods: Made in America,70219,4.0,10537.0,1.0,Argot Pictures,6.9,,2650,1h 33min,Stacy Peralta,10150.0
522,922,The Business of Being Born,69991,3.0,9574.0,1.0,International Film Circuit,7.4,68.0,1300,1h 27min,Abby Epstein,9770.0
523,924,Zoo,69770,5.0,7811.0,1.0,THINKFilm,5.6,63.0,2686,1h 15min,Robinson Devor,9511.0
524,932,Shake Hands with the Devil: The Journey of Roméo Dallaire,68249,4.0,1848.0,1.0,California Newsreel,8.1,80.0,1012,1h 30min,Peter Raymont,8799.0
525,933,Maidentrip,68243,9.0,1622.0,1.0,First Run,7.5,70.0,3656,1h 22min,Jillian Schlesinger,11942.0
526,934,The Silence of Others,67986,6.0,7868.0,1.0,Argot Pictures,8.0,73.0,1426,1h 36min,Robert Bahar,13907.0
527,935,The Pervert's Guide to Ideology,67966,4.0,9165.0,1.0,Zeitgeist Films,7.6,71.0,6136,2h 16min,Sophie Fiennes,11893.0
528,936,I Am Big Bird: The Caroll Spinney Story,67845,17.0,10000.0,1.0,Tribeca Film,7.5,71.0,1407,1h 26min,Dave LaMattina,12444.0
529,938,Happy Valley,67665,7.0,27122.0,7.0,Stone Five Studios,7.1,76.0,1116,1h 38min,Amir Bar-Lev,9849.0
530,1355,Happy Valley,23868,4.0,9047.0,4.0,Music Box Films,7.1,76.0,1116,1h 38min,Amir Bar-Lev,12278.0
531,941,For No Good Reason,67421,21.0,4516.0,2.0,Sony Pictures Classics,7.0,,1385,1h 29min,Charlie Paul,12068.0
532,945,Pandora's Promise,66680,16.0,23419.0,16.0,Abramorama,7.4,,1816,1h 27min,Robert Stone,11751.0
533,958,Let the Fire Burn,64489,9.0,5226.0,1.0,Zeitgeist Films,7.8,86.0,1261,1h 28min,Jason Osder,11863.0
534,959,Rock School,64310,32.0,28136.0,32.0,Picturehouse,6.4,67.0,1000,1h 33min,Don Argott,8820.0
535,964,Drunk Stoned Brilliant Dead,62660,22.0,5254.0,1.0,Magnolia Pictures,7.2,74.0,2065,1h 38min,Douglas Tirola,12586.0
536,967,The Cave,62625,10.0,21185.0,2.0,National Geographic Entertainment,7.5,83.0,2176,1h 47min,Feras Fayyad,14070.0
537,968,Tomorrow,62510,20.0,1480.0,1.0,Under The Milky Way,8.0,71.0,3136,1h 58min,Cyril Dion,13118.0
538,970,Mifune: The Last Samurai,62279,9.0,4296.0,1.0,Strand Releasing,7.2,64.0,933,1h 20min,Steven Okazaki,13013.0
539,972,Public Speaking,62173,2.0,6260.0,1.0,Rialto Pictures,7.6,,1572,1h 24min,Martin Scorsese,10911.0
540,973,Dark Star: HR Gigers Welt,61845,10.0,8349.0,5.0,Icarus Films,7.0,62.0,1027,1h 35min,Belinda Sallin,12453.0
541,974,If a Tree Falls: A Story of the Earth Liberation Front,61794,5.0,5634.0,2.0,Oscilloscope,7.2,65.0,3053,1h 25min,Marshall Curry,11030.0
542,975,War Photographer,61040,1.0,9327.0,1.0,First Run,8.0,79.0,3938,1h 36min,Christian Frei,7740.0
543,990,Roman Polanski: Wanted and Desired,59192,9.0,4613.0,1.0,THINKFilm,7.2,78.0,4799,1h 39min,Marina Zenovich,9954.0
544,991,The Trials of Muhammad Ali,59081,10.0,2980.0,1.0,Kino Lorber,7.3,74.0,1048,1h 26min,Bill Siegel,11823.0
545,993,Maxed Out,58829,6.0,20024.0,6.0,Magnolia Pictures,7.2,65.0,2139,1h 30min,James D. Scurlock,9464.0
546,994,Side by Side,58825,9.0,6956.0,1.0,Tribeca Film,7.6,82.0,12946,1h 39min,Christopher Kenneally,11452.0
547,1004,Beautiful Losers,56386,3.0,10607.0,1.0,Sidetrack Films,7.1,,1310,1h 30min,Aaron Rose,9982.0
548,1008,Terms and Conditions May Apply,55824,6.0,4446.0,1.0,Variance Films,7.3,68.0,5863,1h 19min,Cullen Hoback,11781.0
549,1011,The Lovers & the Despot,55511,13.0,14925.0,8.0,Magnolia Pictures,6.5,65.0,912,1h 38min,Ross Adam,12950.0
550,1023,The Search for General Tso,54275,13.0,9336.0,2.0,IFC Films,6.9,72.0,1643,1h 11min,Ian Cheney,12320.0
551,1024,Surviving Progress,53953,6.0,4161.0,2.0,First Run,7.4,,1758,1h 26min,Mathieu Roy,11319.0
552,1026,The Other F Word,53714,6.0,15792.0,2.0,Oscilloscope,7.3,,1880,1h 38min,Andrea Blaugrund Nevins,11165.0
553,1029,Making Waves: The Art of Cinematic Sound,53144,11.0,12348.0,3.0,Matson Films,7.6,80.0,1015,1h 34min,Midge Costin,14077.0
554,1032,To Be Takei,52823,22.0,22846.0,22.0,Starz Digital Media,6.8,66.0,1458,1h 34min,Jennifer M. Kroot,12187.0
555,1036,The Last Man on the Moon,52482,14.0,30880.0,13.0,Gravitas Ventures,7.4,78.0,3251,1h 35min,Mark Craig,12740.0
556,1037,Cropsey,52476,4.0,6306.0,1.0,Cinema Purgatorio,6.3,73.0,7574,1h 24min,Barbara Brancaccio,10647.0
557,1041,The Human Experience,52296,5.0,27170.0,5.0,Grassroots Films,7.1,,914,1h 30min,Charles Francis Kinnane,10591.0
558,1044,The Missing Picture,52164,9.0,10148.0,5.0,Strand Releasing,7.4,87.0,3032,1h 32min,Rithy Panh,12031.0
559,1045,Screamers,52034,4.0,23609.0,4.0,Maya Entertainment,6.0,,1451,1h 31min,Carla Garapedian,9373.0
560,1047,QT8: The First Eight,51896,459.0,,,Fathom Events,7.3,,2320,1h 43min,Tara Wood,14073.0
561,1050,Tickling Giants,51499,17.0,8159.0,1.0,-,8.3,78.0,1545,1h 51min,Sara Taksler,13125.0
562,1053,God Loves Uganda,51229,5.0,7300.0,1.0,Variance Films,7.4,77.0,1156,1h 23min,Roger Ross Williams,11872.0
563,1069,The Internet's Own Boy: The Story of Aaron Swartz,48911,12.0,21705.0,12.0,-,8.0,72.0,15414,1h 45min,Brian Knappenberger,12131.0
564,1070,The Seven Five,48869,5.0,14785.0,2.0,IFC Films,7.6,69.0,5267,1h 44min,Tiller Russell,12446.0
565,1071,Ghosts of Cité Soleil,48752,3.0,7100.0,1.0,THINKFilm,7.1,64.0,1727,1h 25min,Asger Leth,9574.0
566,1075,The China Hustle,48650,20.0,25791.0,20.0,Magnolia Pictures,7.2,67.0,2505,1h 22min,Jed Rothstein,13503.0
567,1077,Saving Banksy,47965,6.0,1317.0,1.0,Parade Deck Films,6.8,73.0,1012,1h 20min,Colin M. Day,13062.0
568,1080,Terror's Advocate,47724,4.0,11197.0,3.0,Magnolia Pictures,7.2,75.0,1476,2h 15min,Barbet Schroeder,9681.0
569,1082,GMO OMG,47558,9.0,15100.0,1.0,Submarine Deluxe,6.5,,1415,1h 30min,Jeremy Seifert,11844.0
570,1086,The Goebbels Experiment,47211,2.0,6769.0,1.0,First Run,7.3,67.0,942,1h 48min,Lutz Hachmeister,8890.0
571,1087,Collapse,46964,5.0,7800.0,1.0,Vitagraph Films,7.7,71.0,6623,1h 22min,Chris Smith,10437.0
572,1093,William S. Burroughs: A Man Within,46380,4.0,6510.0,1.0,Oscilloscope,7.2,63.0,1039,1h 27min,Yony Leyser,10813.0
573,1118,For Sama,43796,4.0,9350.0,3.0,PBS Distribution,8.5,89.0,7763,1h 40min,Waad Al-Kateab,13986.0
574,1120,A Grin Without A Cat,43616,1.0,8449.0,1.0,Icarus Films,8.0,81.0,914,4h,Chris Marker,7691.0
575,1125,Next Goal Wins,43089,10.0,2568.0,5.0,Ketchup Entertainment,7.9,71.0,2338,1h 37min,Mike Brett,12068.0
576,1129,Midnight Family,42310,13.0,3030.0,1.0,1091 Media,7.4,81.0,1109,1h 21min,Luke Lorentzen,14119.0
577,1131,The Pearl Button,42166,5.0,,,Kino Lorber,7.6,80.0,2284,1h 22min,Patricio Guzmán,12614.0
578,1134,We Live in Public,41711,2.0,7325.0,1.0,Abramorama,7.2,69.0,1804,1h 31min,Ondi Timoner,10367.0
579,1136,A State of Mind,41468,5.0,5515.0,1.0,Kino International,7.7,63.0,1002,1h 33min,Daniel Gordon,8888.0
580,1138,Nowitzki: The Perfect Shot,41340,4.0,20049.0,4.0,Magnolia Pictures,7.6,,1887,1h 45min,Sebastian Dehnhardt,12509.0
581,1147,Hell and Back Again,40634,4.0,3413.0,1.0,-,6.5,81.0,2190,1h 28min,Danfung Dennis,11135.0
582,1150,My Flesh and Blood,40573,7.0,18763.0,7.0,Strand Releasing,8.2,78.0,1693,1h 23min,Jonathan Karsh,8267.0
583,1155,What Our Fathers Did: A Nazi Legacy,40119,14.0,8132.0,2.0,Oscilloscope,7.0,69.0,1083,1h 36min,David Evans,12628.0
584,1157,Unrest,40081,8.0,10607.0,1.0,-,7.7,80.0,2429,1h 38min,Jennifer Brea,13314.0
585,1160,The Short Game,39819,20.0,28434.0,17.0,The Samuel Goldwyn Company,7.4,,1329,1h 39min,Josh Greenbaum,11851.0
586,1165,Prophet's Prey,39347,9.0,5000.0,1.0,-,7.3,77.0,1425,1h 30min,Amy Berg,12579.0
587,1167,How to Make Money Selling Drugs,39192,5.0,9202.0,5.0,Tribeca Film,7.6,69.0,6597,1h 36min,Matthew Cooke,11765.0
588,1187,78/52: Hitchcock's Shower Scene,37664,22.0,3738.0,1.0,IFC Films,7.3,74.0,3030,1h 31min,Alexandre O. Philippe,13335.0
589,1191,Grey Gardens,36923,1.0,13845.0,1.0,Janus Films,7.6,82.0,11941,1h 35min,Ellen Hovde,12383.0
590,1197,Mansome,36280,20.0,18395.0,20.0,Paladin,5.4,,2813,1h 22min,Morgan Spurlock,11361.0
591,1198,Welcome to Leith,36010,5.0,3707.0,1.0,First Run,7.0,78.0,3834,1h 25min,Michael Beach Nichols,12570.0
592,1202,The Year of the Yao,35591,12.0,27823.0,12.0,Fine Line Features,7.3,62.0,1087,1h 28min,Adam Del Deo,8771.0
593,1203,Finders Keepers,35555,32.0,5740.0,5.0,The Orchard,6.8,80.0,2400,1h 22min,Bryan Carberry,12586.0
594,1208,A Decade Under the Influence,34837,3.0,2320.0,1.0,IFC Films,7.6,67.0,2497,2h 18min,Ted Demme,8050.0
595,1210,Comic-Con Episode IV: A Fan's Hope,34665,6.0,8203.0,3.0,-,7.0,64.0,2710,1h 28min,Morgan Spurlock,11319.0
596,1217,The Autobiography of Nicolae Ceausescu,34023,3.0,4644.0,1.0,The Film Desk,7.7,87.0,1347,3h,Andrei Ujica,11109.0
597,1232,Of Time and the City,32677,2.0,5595.0,1.0,Strand Releasing,7.3,81.0,1896,1h 14min,Terence Davies,10148.0
598,1238,Living in Emergency,32208,7.0,21905.0,7.0,Truly Indie,8.0,76.0,1025,2h,Mark N. Hopkins,10647.0
599,1245,180° South,31745,4.0,10269.0,4.0,Magnolia Pictures,7.6,,2867,1h 25min,Chris Malloy,10633.0
600,1250,Whores' Glory,31420,3.0,5358.0,3.0,Kino Lorber,7.2,73.0,4613,1h 50min,Michael Glawogger,11340.0
601,1252,Memory: The Origins of Alien,31378,19.0,14704.0,19.0,Screen Media Films,6.7,70.0,1976,1h 35min,Alexandre O. Philippe,14056.0
602,1256,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),30975,3.0,6078.0,1.0,Lorber Films,7.6,68.0,1420,1h 56min,John Scheinfeld,10745.0
603,1257,Patti Smith: Dream of Life,30918,1.0,9993.0,1.0,Palm Pictures,7.1,66.0,959,1h 49min,Steven Sebring,9980.0
604,1258,GasLand,30846,2.0,2641.0,1.0,-,7.7,,10156,1h 47min,Josh Fox,10750.0
605,1263,Dealt,30414,10.0,4293.0,1.0,IFC Films,7.6,66.0,1576,1h 25min,Luke Korem,13342.0
