,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
1360,Elvis: The Comeback Special,9.0,N/A,"1,423",50min,TV Special 3 December 1968,Steve Binder
1361,Every Little Step,7.5,76,"1,420",1h 36min,12 June 2009 (USA),Adam Del Deo
1362,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),7.6,68,"1,420",1h 56min,4 February 2006 (USA),John Scheinfeld
1363,Lewis Black: Black on Broadway,8.1,N/A,"1,419",58min,TV Special 15 May 2004,Paul Miller
1364,Backstreet Boys: Show 'Em What You're Made Of,7.6,N/A,"1,418",1h 41min,30 January 2015 (USA),Stephen Kijak
1365,Diana Vreeland: The Eye Has to Travel,7.5,69,"1,417",1h 26min,21 September 2012 (UK),Lisa Immordino Vreeland
1366,Ellen DeGeneres: Here and Now,7.7,N/A,"1,416",1h,TV Special 25 June 2003,Joel Gallen
1367,GMO OMG,6.5,N/A,"1,415",1h 30min,13 September 2013 (USA),Jeremy Seifert
1368,Ecstasy of Order: The Tetris Masters,7.6,N/A,"1,414",1h 33min,2011 (USA),Adam Cornelius
1369,Marjoe,7.6,N/A,"1,414",1h 28min,11 April 1973 (Sweden),Sarah Kernochan
1370,The Irishman: In Conversation,7.4,N/A,"1,413",23min,27 November 2019 (USA),Martin Scorsese
1371,Marc Maron: End Times Fun,6.8,N/A,"1,411",1h 11min,TV Special 10 March 2020,Lynn Shelton
1372,Treasures from the Wreck of the Unbelievable,6.0,N/A,"1,410",1h 30min,2017 (UK),Sam Hobkinson
1373,"Ray Romano: Right Here, Around the Corner",7.2,N/A,"1,409",58min,TV Special 5 February 2019,Michael Showalter
1374,Fittest on Earth: A Decade of Fitness,7.2,N/A,"1,408",1h 56min,17 March 2017 (USA),Heber Cannon
1375,I Am Big Bird: The Caroll Spinney Story,7.5,71,"1,407",1h 26min,6 May 2015 (USA),Dave LaMattina
1376,Murph: The Protector,6.7,N/A,"1,405",1h 19min,22 March 2013 (USA),Scott Mactavish
1377,The Act of Seeing with One's Own Eyes,7.1,N/A,"1,405",32min,N/A,Stan Brakhage
1378,The Memphis Belle: A Story of a Flying Fortress,7.2,N/A,"1,404",45min,13 April 1944 (USA),William Wyler
1379,Comizi d'amore,7.5,N/A,"1,401",1h 32min,23 July 1982 (West Germany),Pier Paolo Pasolini
1380,Mondovino,7.1,67,"1,400",2h 15min,3 November 2004 (France),Jonathan Nossiter
1381,Les maîtres fous,6.8,N/A,"1,400",36min,17 June 1973 (USA),Jean Rouch
1382,Planet Ocean,7.9,N/A,"1,399",1h 34min,26 June 2012 (Belgium),Yann Arthus-Bertrand
1383,The Rape of Europa,7.7,77,"1,397",1h 57min,12 November 2006 (USA),Richard Berge
1384,Linda Ronstadt: The Sound of My Voice,8.0,77,"1,393",1h 35min,6 September 2019 (USA),Rob Epstein
1385,Genesis,7.1,74,"1,393",1h 21min,20 October 2004 (France),Claude Nuridsany
1386,Enter the Anime,2.5,N/A,"1,392",58min,5 August 2019 (USA),Alex Burunova
1387,Iraq in Fragments,7.3,84,"1,391",1h 34min,19 January 2007 (UK),James Longley
1388,Magic Trip: Ken Kesey's Search for a Kool Place,6.8,N/A,"1,389",1h 47min,5 August 2011 (USA),Alison Ellwood
1389,Le monde du silence,7.1,N/A,"1,389",1h 26min,November 1956 (Italy),Jacques-Yves Cousteau
1390,The Rise & Fall of ECW,8.6,N/A,"1,387",6h,Video 16 November 2004,Kevin Dunn
1391,9/11: The Falling Man,7.3,N/A,"1,386",1h 20min,TV Movie 16 March 2006,Henry Singer
1392,For No Good Reason,7.0,N/A,"1,385",1h 29min,8 March 2014 (Japan),Charlie Paul
1393,Dom kallar oss mods,7.4,N/A,"1,385",1h 40min,25 March 1968 (Sweden),Stefan Jarl
1394,John Leguizamo's Road to Broadway,7.5,N/A,"1,384",1h 30min,16 November 2018 (USA),Ben DeJesus
1395,Tread,7.1,66,"1,384",1h 29min,28 February 2020 (USA),Paul Solet
1396,AC/DC: Live at Donington,8.5,N/A,"1,384",2h,Video 27 October 1992,David Mallet
1397,LA Originals,7.2,N/A,"1,383",1h 32min,10 April 2020 (USA),Estevan Oriol
1398,Jim: The James Foley Story,7.7,73,"1,383",1h 51min,2 September 2016 (UK),Brian Oakes
1399,A Girl in the River: The Price of Forgiveness,7.9,N/A,"1,381",40min,28 October 2015 (USA),Sharmeen Obaid-Chinoy
1400,911: In Plane Site,7.1,N/A,"1,381",52min,Video 2004,William Lewis
1401,Steve McQueen: The Man & Le Mans,6.8,64,"1,380",1h 42min,13 November 2015 (USA),Gabriel Clarke
1402,After Porn Ends 3,5.4,N/A,"1,379",1h 26min,30 October 2018 (USA),Brittany Andrews
1403,My Life Directed By Nicolas Winding Refn,6.5,N/A,"1,379",58min,27 February 2015 (USA),Liv Corfixen
1404,I Think We're Alone Now,6.8,N/A,"1,379",1h 10min,20 January 2008 (USA),Sean Donnelly
1405,The Future of Food,7.8,65,"1,378",1h 28min,30 May 2004 (USA),Deborah Koons
1406,This Filthy World,7.7,68,"1,376",1h 26min,24 November 2006 (USA),Jeff Garlin
1407,That's Entertainment! III,7.6,N/A,"1,375",1h 53min,July 1994 (USA),Bud Friedgen
1408,David Blaine: Real or Magic,7.6,N/A,"1,373",1h 30min,TV Movie 19 November 2013,Matthew Akers
1409,Louis Theroux: Under the Knife,7.3,N/A,"1,373",1h,TV Movie 7 October 2007,Emma Cooper
1410,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,4.3,N/A,"1,373",1h 12min,22 October 2004 (USA),Kevin Knoblock
1411,Love Me,6.4,N/A,"1,372",1h 30min,6 April 2014 (USA),Jonathon Narducci
1412,The Great Happiness Space: Tale of an Osaka Love Thief,7.9,N/A,"1,372",1h 16min,22 January 2006 (USA),Jake Clennell
1413,Born Strong,7.2,N/A,"1,370",1h 25min,3 November 2017 (USA),Gary Cohen
1414,Retro Wick: Exploring the Unexpected Success of 'John Wick',7.9,N/A,"1,366",5min,Video 13 June 2017,Josh Oreck
1415,Killing for Love,7.1,N/A,"1,366",2h 10min,15 December 2017 (USA),Marcus Vetter
1416,National Gallery,7.3,89,"1,365",3h,8 October 2014 (France),Frederick Wiseman
1417,We Stand Alone Together,8.6,N/A,"1,364",1h 18min,TV Movie 10 November 2001,Mark Cowen
1418,Clinton Cash,7.1,N/A,"1,363",1h,7 November 2016 (Japan),M.A. Taylor
1419,The Rise and Rise of Bitcoin,7.2,N/A,"1,363",1h 36min,10 October 2014 (USA),Nicholas Mross
1420,Family Guy: 200 Episodes Later,7.2,N/A,"1,361",22min,TV Short 11 November 2012,Brad Lachman
1421,And the Oscar Goes To...,7.1,N/A,"1,360",1h 27min,TV Movie 1 March 2014,Rob Epstein
1422,Metallica: Cliff 'Em All!,8.5,N/A,"1,360",1h 30min,Video 26 November 1987,Doug Freel
1423,A Gray State,6.2,74,"1,358",1h 33min,3 November 2017 (USA),Erik Nelson
1424,Future by Design,8.0,N/A,"1,358",1h 26min,10 June 2006 (USA),William Gazecki
1425,A Night at the Garden,6.6,N/A,"1,357",7min,2017 (USA),Marshall Curry
1426,Reel Injun,7.6,63,"1,356",1h 25min,18 June 2010 (USA),Neil Diamond
1427,Bill Bailey: Part Troll,8.4,N/A,"1,354",1h 33min,Video 22 November 2004,Nick Morris
1428,Under an Arctic Sky,7.1,N/A,"1,352",39min,23 April 2017 (USA),Chris Burkard
1429,"Dylan Moran: Like, Totally",8.2,N/A,"1,352",1h 9min,Video December 2006,Michael Matheson
1430,Unforgivable Blackness: The Rise and Fall of Jack Johnson,8.3,N/A,"1,352",3h 34min,17 January 2005 (USA),Ken Burns
1431,Bettie Page Reveals All,7.1,64,"1,348",1h 41min,22 November 2013 (USA),Mark Mori
1432,Unbranded,7.4,64,"1,347",1h 46min,9 October 2015 (USA),Phillip Baribeau
1433,The Autobiography of Nicolae Ceausescu,7.7,87,"1,347",3h,9 September 2011 (USA),Andrei Ujica
1434,Saturday Night Live: The Best of Adam Sandler,7.1,N/A,"1,347",1h 13min,TV Special 9 November 1999,Beth McCarthy-Miller
1435,Antonio Gaudí,7.3,N/A,"1,347",1h 12min,5 March 1986 (USA),Hiroshi Teshigahara
1436,Aftermath: Population Zero,6.8,N/A,"1,346",1h 30min,TV Movie 9 March 2008,Reg E. Cathey
1437,Fantastic Fungi,7.7,70,"1,345",1h 21min,11 October 2019 (USA),Louie Schwartzberg
1438,Collective,8.3,N/A,"1,344",1h 49min,28 February 2020 (Romania),Alexander Nanau
1439,The Obama Deception,6.4,N/A,"1,343",1h 51min,Video 2009,Alex Jones
1440,1991: The Year Punk Broke,7.5,N/A,"1,340",1h 39min,20 November 1992 (USA),David Markey
1441,Elvis on Tour,7.6,N/A,"1,340",1h 33min,1 November 1972 (USA),Robert Abel
1442,"The Other One: The Long, Strange Trip of Bob Weir",7.4,N/A,"1,339",1h 25min,22 May 2015 (USA),Mike Fleiss
1443,Playboy: The Best of Pamela Anderson,6.4,N/A,"1,338",54min,Video,Vicangelo Bulluck
1444,Filip & Fredrik presenterar Trevligt folk,7.6,N/A,"1,336",1h 40min,28 January 2015 (Sweden),Anders Helgeson
1445,Skydancers,8.7,N/A,"1,336",50min,TV Movie 2014,Fredric Lean
1446,Louis Theroux: America's Medicated Kids,7.4,N/A,"1,333",58min,TV Movie 18 April 2010,Danny Horan
1447,Anthropocene: The Human Epoch,7.2,77,"1,332",1h 27min,25 September 2019 (USA),Jennifer Baichwal
1448,El Pepe: A Supreme Life,7.1,N/A,"1,331",1h 14min,13 October 2019 (Italy),Emir Kusturica
1449,Michael Jackson: Number Ones,8.7,N/A,"1,331",1h 31min,Video 18 November 2003,Steve Barron
1450,The Short Game,7.4,N/A,"1,329",1h 39min,20 September 2013 (USA),Josh Greenbaum
1451,A Perfect 14,7.6,N/A,"1,328",1h 45min,31 March 2020 (USA),Giovanna Morales Vargas
1452,Robin Williams: An Evening at the Met,8.4,N/A,"1,328",1h 5min,TV Special 11 October 1986,Bruce Gowers
1453,Toute la mémoire du monde,7.8,N/A,"1,328",21min,November 1956 (France),Alain Resnais
1454,Elevation 2001: U2 Live from Boston,8.5,N/A,"1,327",1h 47min,Video 20 November 2001,Hamish Hamilton
1455,The Fourth Phase,7.1,N/A,"1,325",1h 30min,2 October 2016 (USA),Jon Klaczkiewicz
1456,The Russian Woodpecker,6.8,74,"1,325",1h 20min,16 October 2015 (USA),Chad Gracia
1457,Chasing Ghosts: Beyond the Arcade,7.1,N/A,"1,324",1h 30min,19 January 2007 (USA),Lincoln Ruchti
1458,Long Strange Trip - The Untold Story of The Grateful Dead,8.2,78,"1,322",3h 58min,26 May 2017 (USA),Amir Bar-Lev
1459,Scott Walker: 30 Century Man,7.2,65,"1,322",1h 35min,27 April 2007 (UK),Stephen Kijak
1460,"Love, Gilda",7.4,74,"1,320",1h 28min,21 September 2018 (USA),Lisa D'Apolito
1461,Defamation,7.4,N/A,"1,318",1h 31min,2009 (Israel),Yoav Shamir
1462,Western Stars,7.5,80,"1,318",1h 23min,25 October 2019 (USA),Bruce Springsteen
1463,Presunto culpable,8.1,N/A,"1,317",1h 27min,18 February 2011 (Mexico),Roberto Hernández
1464,Bombay Beach,7.1,74,"1,316",1h 20min,14 October 2011 (USA),Alma Har'el
1465,I Believe in Miracles,7.8,N/A,"1,315",1h 44min,13 October 2015 (UK),Jonny Owen
1466,The Messers. Lumière at Cards,5.7,N/A,"1,314",1min,23 February 1896 (France),Louis Lumière
1467,Beautiful Losers,7.1,N/A,"1,310",1h 30min,2 August 2008 (Japan),Aaron Rose
1468,The Galapagos Affair: Satan Came to Eden,6.7,69,"1,309",2h,25 July 2014 (UK),Daniel Geller
1469,Faster,7.8,N/A,"1,308",1h 43min,7 March 2004 (USA),Mark Neale
1470,Africa: Blood and Guts,7.0,N/A,"1,308",2h 2min,11 February 1966 (Italy),Gualtiero Jacopetti
1471,Elstree 1976,5.9,66,"1,307",1h 37min,6 May 2016 (USA),Jon Spira
1472,12 O'Clock Boys,6.4,68,"1,307",1h 16min,31 January 2014 (USA),Lotfy Nathan
1473,Charlie: The Life and Art of Charles Chaplin,8.0,80,"1,305",2h 12min,11 September 2003 (USA),Richard Schickel
1474,Woodstock,7.6,67,"1,304",1h 46min,TV Movie 31 July 2019,Barak Goodman
1475,Manhatta,6.5,N/A,"1,304",11min,1921 (USA),Charles Sheeler
1476,The Business of Being Born,7.4,68,"1,300",1h 27min,9 January 2008 (USA),Abby Epstein
1477,The Emperor's New Clothes,7.1,N/A,"1,299",1h 41min,16 December 2015 (USA),Michael Winterbottom
1478,A Very Special Supernatural Special,8.9,N/A,"1,299",42min,TV Short 6 October 2014,Jensen Ackles
1479,loudQUIETloud: A Film About the Pixies,7.2,63,"1,299",1h 25min,3 February 2007 (Japan),Steven Cantor
1480,Sel8nne,7.2,N/A,"1,297",1h 50min,27 September 2013 (Finland),Jukka-Pekka Siili
1481,Saving Face,8.0,N/A,"1,296",40min,8 March 2012 (USA),Daniel Junge
1482,Ron White: They Call Me Tater Salad,7.5,N/A,"1,295",56min,TV Special 27 June 2004,Michael Drumm
1483,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It",9.4,N/A,"1,294",1h 30min,15 December 2017 (India),John Griesser
1484,Chariots of the Gods,6.4,N/A,"1,294",1h 32min,26 April 1970 (West Germany),Harald Reinl
1485,1968,8.1,N/A,"1,292",1h 33min,25 January 2018 (Greece),Tassos Boulmetis
1486,Saturday Night Live 25,7.6,N/A,"1,292",2h 41min,TV Special 25 September 1999,Beth McCarthy-Miller
1487,Ice on Fire,7.4,N/A,"1,288",1h 28min,23 June 2019 (Sweden),Leila Conners
1488,Liberated: The New Sexual Revolution,6.0,N/A,"1,288",1h 24min,April 2017 (USA),Benjamin Nolot
1489,Road,7.9,N/A,"1,288",1h 42min,11 June 2014 (UK),Michael Hewitt
1490,Hôtel Terminus,7.7,N/A,"1,286",4h 27min,November 1988 (USA),Marcel Ophüls
1491,Please Vote for Me,7.9,N/A,"1,284",58min,3 April 2008 (USA),Weijun Chen
1492,Z Channel: A Magnificent Obsession,7.7,85,"1,283",2h,TV Movie 16 August 2007,Xan Cassavetes
1493,The Kingmaker,7.6,76,"1,284",1h 41min,8 November 2019 (USA),Lauren Greenfield
1494,Black Sheep,7.1,N/A,"1,280",26min,26 October 2018 (USA),Ed Perkins
1495,Air Guitar Nation,7.1,72,"1,279",1h 21min,6 October 2007 (Japan),Alexandra Lipsitz
1496,The Redeemed and the Dominant: Fittest on Earth,7.1,N/A,"1,277",1h 59min,23 March 2018 (USA),Heber Cannon
1497,Penguins,7.0,69,"1,276",1h 16min,17 April 2019 (USA),Alastair Fothergill
1498,The Weight of Chains 2,9.0,N/A,"1,273",2h 4min,November 2014 (Sweden),Boris Malagurski
1499,The Poodles: In the Flesh,6.9,N/A,"1,273",2h 32min,11 May 2010 (Sweden),Steve Ravic
1500,Saturday Night Live: The Best of Will Ferrell - Volume 2,7.6,N/A,"1,273",1h 22min,Video 7 September 2004,Beth McCarthy-Miller
1501,All the World in a Design School,8.4,N/A,"1,272",59min,20 August 2015 (Sweden),Mattias Löw
1502,Ivory Tower,7.0,65,"1,271",1h 30min,4 May 2015 (Norway),Andrew Rossi
1503,Square One,8.1,N/A,"1,270",1h 23min,5 October 2019 (USA),Danny Wu
1504,"Lewis Black: Red, White and Screwed",7.8,N/A,"1,269",1h,TV Special 10 June 2006,Paul Miller
1505,Sunshine Superman,6.9,70,"1,268",1h 40min,22 May 2015 (USA),Marah Strauch
1506,Genghis Blues,7.9,N/A,"1,267",1h 28min,28 October 1999 (New Zealand),Roko Belic
1507,Game Over: Kasparov and the Machine,6.8,66,"1,266",1h 30min,23 January 2004 (UK),Vikram Jayanti
1508,Elvis Presley: The Searcher,7.7,N/A,"1,265",3h 25min,14 April 2018 (USA),Thom Zimny
1509,Louis Theroux: Gambling in Las Vegas,7.4,N/A,"1,263",59min,TV Movie 4 February 2007,Stuart Cabb
1510,Framing John DeLorean,6.5,67,"1,262",1h 49min,7 June 2019 (USA),Don Argott
1511,Cocaine Cowboys: Reloaded,7.7,N/A,"1,262",2h 32min,8 July 2014 (Netherlands),Billy Corben
1512,Let the Fire Burn,7.8,86,"1,261",1h 28min,2 October 2013 (USA),Jason Osder
1513,Faces of Death III,3.1,N/A,"1,260",1h 31min,10 March 1985 (Japan),John Alan Schwartz
1514,I Want Your Money,4.7,N/A,"1,259",1h 32min,15 October 2010 (USA),Ray Griggs
1515,The Battle of Russia,7.1,N/A,"1,258",1h 23min,11 November 1943 (USA),Frank Capra
1516,Leyla ile Mecnun: Kaytariyor,8.9,N/A,"1,256",1h 4min,TV Special 18 October 2011,Ülkü Oktay
1517,"Monkeyshines, No. 1",5.0,N/A,"1,252",1min,21 November 1890 (USA),William K.L. Dickson
1518,The Sunshine Makers,7.0,68,"1,248",1h 41min,13 January 2017 (USA),Cosmo Feilding-Mellen
1519,George Michael: Freedom,7.7,N/A,"1,247",1h 35min,TV Movie 21 October 2017,David Austin
1520,Doc of the Dead,6.4,N/A,"1,247",1h 21min,14 June 2014 (USA),Alexandre O. Philippe
1521,The Elephant Queen,7.8,69,"1,246",1h 36min,1 November 2019 (Brazil),Mark Deeble
1522,Game of Thrones: Season 2 - Character Profiles,8.7,N/A,"1,245",16min,Video January 2013,Alfie Allen
1523,Joshua: Teenager vs. Superpower,7.1,72,"1,244",1h 19min,20 January 2017 (USA),Joe Piscatella
1524,Lightning Over Water,6.7,N/A,"1,244",1h 31min,23 November 1984 (Sweden),Nicholas Ray
1525,Elvis: Aloha from Hawaii,8.6,N/A,"1,243",1h 27min,TV Special 4 April 1973,Marty Pasetta
1526,Tapped,7.3,N/A,"1,242",1h 16min,31 July 2009 (USA),Stephanie Soechtig
1527,The Living Desert,7.5,69,"1,242",1h 9min,10 November 1953 (USA),James Algar
1528,Mr. Dynamite: The Rise of James Brown,7.4,N/A,"1,241",2h,18 June 2016 (Japan),Alex Gibney
1529,Where the Trail Ends,7.7,N/A,"1,241",1h 28min,January 2013 (USA),Jeremy Grant
1530,On Any Sunday,7.8,75,"1,241",1h 36min,28 July 1971 (USA),Bruce Brown
1531,Louis Theroux: Extreme Love - Autism,7.7,N/A,"1,239",58min,TV Movie 19 April 2012,Jamie Pickup
1532,Marianne & Leonard: Words of Love,6.9,69,"1,238",1h 42min,5 July 2019 (USA),Nick Broomfield
1533,The Amazing Johnathan Documentary,6.5,N/A,"1,238",1h 31min,16 August 2019 (USA),Benjamin Berman
1534,The Iceman Confesses: Secrets of a Mafia Hitman,7.7,N/A,"1,238",43min,TV Short March 2001,Arthur Ginsberg
1535,On Location: George Carlin at Phoenix,8.2,N/A,"1,238",1h 21min,TV Special 23 July 1978,Marty Callner
1536,Thought Crimes: The Case of the Cannibal Cop,6.4,N/A,"1,237",1h 21min,20 April 2015 (USA),Erin Lee Carr
1537,Generation Iron 3,6.2,N/A,"1,236",1h 35min,7 December 2018 (USA),Vlad Yudin
1538,I'll Sleep When I'm Dead,6.6,N/A,"1,236",1h 19min,19 August 2016 (USA),Justin Krook
1539,Speciesism: The Movie,8.2,N/A,"1,236",1h 34min,18 September 2013 (USA),Mark Devries
1540,Heavy Metal Parking Lot,7.4,N/A,"1,236",17min,Video 30 October 2007,John Heyn
1541,Word from a Gamer,8.7,N/A,"1,235",1h 32min,28 February 2018 (USA),Steve Wollett
1542,Mission Control: The Unsung Heroes of Apollo,7.6,71,"1,235",1h 41min,14 March 2017 (USA),David Fairhead
1543,The War You Don't See,8.4,N/A,"1,235",1h 37min,14 December 2010 (UK),Alan Lowery
1544,Madonna: Rebel Heart Tour,7.1,N/A,"1,234",2h,9 December 2016 (USA),Nathan Rissman
1545,Mapplethorpe: Look at the Pictures,7.5,75,"1,234",1h 48min,3 November 2016 (Germany),Fenton Bailey
1546,Colombia magia salvaje,8.3,N/A,"1,233",1h 34min,10 September 2015 (Colombia),Mike Slee
1547,Hacking Democracy,7.8,N/A,"1,233",1h 22min,2 November 2006 (USA),Simon Ardizzone
1548,The Triumph of the Nerds: The Rise of Accidental Empires,8.4,N/A,"1,233",2h 30min,TV Movie 12 June 1996,Robert X. Cringely
1549,No Distance Left to Run,7.9,N/A,"1,232",1h 44min,19 January 2010 (UK),Will Lovelace
1550,Marlon Wayans: Woke-ish,6.5,N/A,"1,231",1h 8min,TV Special 27 February 2018,Marcus Raboy
1551,Trixie Mattel: Moving Parts,7.3,N/A,"1,231",1h 31min,25 April 2019 (USA),Nicholas Zeig-Owens
1552,"Park Avenue: Money, Power and the American Dream",7.4,N/A,"1,224",1h 10min,12 November 2012 (USA),Alex Gibney
1553,Red Obsession,6.7,68,"1,224",1h 15min,6 September 2013 (USA),David Roach
1554,Mysterious Object at Noon,6.9,69,"1,224",1h 23min,27 January 2016 (France),Apichatpong Weerasethakul
1555,Dream/Killer,7.4,N/A,"1,223",1h 46min,4 May 2015 (USA),Andrew Jenks
1556,Big Star: Nothing Can Hurt Me,7.1,69,"1,221",1h 53min,1 August 2014 (UK),Drew DeNicola
1557,Chuck Berry Hail! Hail! Rock 'n' Roll,7.8,N/A,"1,221",2h,9 October 1987 (USA),Taylor Hackford
1558,RiP: A Remix Manifesto,7.6,N/A,"1,220",1h 27min,April 2009 (USA),Brett Gaylor
1559,John & Yoko: Above Us Only Sky,7.4,N/A,"1,218",1h 30min,TV Movie 10 March 2019,Michael Epstein
1560,Passage de Venus,6.9,N/A,"1,217",1min,9 December 1874 (France),P.J.C. Janssen
1561,Altman,6.8,N/A,"1,216",1h 36min,4 November 2014 (USA),Ron Mann
1562,A Year and a Half in the Life of Metallica,8.1,N/A,"1,216",1h 31min,Video 12 August 1992,Adam Dubin
1563,Nick Offerman: American Ham,6.7,N/A,"1,215",1h 18min,TV Special 12 December 2014,Jordan Vogt-Roberts
1564,Amazing Journey: The Story of The Who,8.2,N/A,"1,215",3h 57min,25 October 2008 (Japan),Paul Crowder
1565,Live Forever,7.2,N/A,"1,214",1h 22min,7 March 2003 (UK),John Dower
1566,The War Tapes,7.3,77,"1,213",1h 37min,29 April 2006 (USA),Deborah Scranton
1567,Chicago 10,7.3,69,"1,210",1h 50min,18 January 2007 (USA),Brett Morgen
1568,Edifício Master,8.4,N/A,"1,210",1h 50min,22 November 2002 (Brazil),Eduardo Coutinho
1569,Be Here to Love Me: A Film About Townes Van Zandt,7.8,69,"1,208",1h 39min,22 December 2005 (Germany),Margaret Brown
1570,Barque sortant du port,5.9,N/A,"1,207",1min,1895 (France),Louis Lumière
1571,Life Cycles,8.4,N/A,"1,206",47min,October 2010 (Canada),Derek Frankowski
1572,Double Dare,7.4,70,"1,206",1h 21min,15 April 2005 (USA),Amanda Micheli
1573,Desenterrando Sad Hill,7.4,N/A,"1,205",1h 26min,1 December 2018 (Spain),Guillermo de Oliveira
1574,Kim Dotcom: Caught in the Web,7.0,N/A,"1,205",1h 47min,22 August 2017 (USA),Annie Goldson
1575,Gore Vidal: The United States of Amnesia,7.7,72,"1,204",1h 23min,1 February 2015 (Belgium),Nicholas D. Wrathall
1576,Stranded: I've Come from a Plane That Crashed on the Mountains,8.1,82,"1,202",2h 10min,22 October 2008 (USA),Gonzalo Arijon
1577,Pervert Park,7.0,80,"1,199",1h 17min,20 May 2016 (USA),Frida Barkfors
1578,8: The Mormon Proposition,7.0,N/A,"1,198",1h 20min,24 January 2010 (USA),Reed Cowan
1579,Nine Inch Nails Live: And All That Could Have Been,9.2,N/A,"1,198",1h 26min,Video 22 January 2002,Rob Sheridan
1580,Night Mail,6.7,N/A,"1,197",25min,13 January 1936 (UK),Harry Watt
1581,"Muchos hijos, un mono y un castillo",7.5,72,"1,196",1h 30min,14 December 2018 (USA),Gustavo Salmerón
1582,Ray Harryhausen: Special Effects Titan,7.6,N/A,"1,196",1h 30min,9 November 2012 (UK),Gilles Penso
1583,Superman 75,8.2,N/A,"1,195",2min,TV Short 16 October 2013,Zack Snyder
1584,Bra Boys,6.2,N/A,"1,195",1h 30min,15 March 2007 (Australia),Sunny Abberton
1585,Jago: A Life Underwater,7.5,N/A,"1,194",48min,25 May 2017 (UK),James Reed
1586,Madonna: Drowned World Tour 2001,8.5,N/A,"1,193",1h 45min,TV Special 26 August 2001,Hamish Hamilton
1587,Untamed Romania,8.6,N/A,"1,188",1h 32min,13 August 2019 (USA),Tom Barton-Humphreys
1588,Top Gear: Apocalypse,7.2,N/A,"1,188",1h 14min,Video 22 November 2010,Phil Churchward
1589,Vaxxed II: The People's Truth,6.6,N/A,"1,188",1h 30min,6 November 2019 (USA),Brian Burrowes
1590,The Show Must Go On: The Queen + Adam Lambert Story,7.9,N/A,"1,187",1h 24min,TV Movie 29 April 2019,Christopher Bird
1591,Whose Streets?,5.3,79,"1,186",1h 42min,11 August 2017 (USA),Sabaah Folayan
1592,What We Left Behind: Star Trek DS9,8.4,N/A,"1,184",1h 56min,13 May 2019 (USA),Ira Steven Behr
1593,U2's Beautiful Day,8.7,N/A,"1,184",2h 12min,Video November 2002,Hamish Hamilton
1594,Saturday Night Live: The Best of Mike Myers,7.3,N/A,"1,182",1h 24min,Video 11 February 1998,Beth McCarthy-Miller
1595,The Battle of Chile: Part I,8.2,N/A,"1,180",3h 11min,18 March 1975 (Cuba),Patricio Guzmán
1596,Liam Gallagher: As It Was,7.0,N/A,"1,179",1h 25min,13 September 2019 (USA),Gavin Fitzgerald
1597,Death in Gaza,8.0,N/A,"1,179",1h 20min,12 August 2004 (USA),James Miller
1598,Never Surrender: A Galaxy Quest Documentary,7.6,N/A,"1,178",1h 35min,26 November 2019 (USA),Jack Bennett
1599,Who the #$&% Is Jackson Pollock?,7.0,70,"1,175",1h 14min,9 November 2006 (USA),Harry Morgan Moses
1600,Froning: The Fittest Man in History,6.7,N/A,"1,174",1h 39min,2 October 2015 (USA),Heber Cannon
1601,Shut Up Little Man! An Audio Misadventure,6.6,N/A,"1,174",1h 30min,25 August 2011 (USA),Matthew Bate
1602,One Night in Turin,6.9,N/A,"1,174",1h 30min,19 May 2010 (UK),James Erskine
1603,Empire,3.7,N/A,"1,173",8h 5min,1964 (USA),Andy Warhol
1604,Ethos,7.5,N/A,"1,170",1h 18min,10 February 2011 (USA),Pete McGrain
1605,A Life of Speed: The Juan Manuel Fangio Story,6.8,N/A,"1,169",1h 32min,20 March 2020 (USA),Francisco Macri
1606,The Kill Team,7.0,72,"1,169",1h 19min,26 April 2013 (USA),Dan Krauss
1607,Joe Rogan: Live,7.3,N/A,"1,168",58min,Video 1 September 2006,Michael Blieden
1608,The Work of Director Spike Jonze,8.4,N/A,"1,168",3h 20min,Video 20 October 2003,Spike Jonze
1609,"Look, Up in the Sky! The Amazing Story of Superman",7.9,N/A,"1,167",1h 55min,TV Movie 12 June 2006,Kevin Burns
1610,Plastic Planet,7.3,N/A,"1,165",1h 35min,18 September 2009 (Austria),Werner Boote
1611,Caur Adatu,9.1,N/A,"1,164",1h 14min,14 February 2014 (Latvia),Arturs Lapinskis
1612,The Institute,6.2,N/A,"1,164",1h 32min,11 October 2013 (USA),Spencer McCall
1613,How the Beatles Changed the World,6.8,N/A,"1,162",1h 30min,Video 23 October 2017,Tom O'Dell
1614,No Safe Spaces,7.7,N/A,"1,161",1h 40min,25 October 2019 (USA),Justin Folk
1615,The Last Shaman,6.7,N/A,"1,157",1h 17min,1 September 2017 (USA),Raz Degan
1616,The Island President,7.2,72,"1,157",1h 41min,30 March 2012 (UK),Jon Shenk
1617,Girl Rising,7.1,N/A,"1,156",1h 41min,1 September 2014 (Netherlands),Richard Robbins
1618,Hitler's Children,7.4,69,"1,156",59min,November 2011 (Netherlands),Chanoch Ze'evi
1619,God Loves Uganda,7.4,77,"1,156",1h 23min,11 October 2013 (USA),Roger Ross Williams
